;matricula;empresa;titulo_do_cargo;sindicato;valor_diario_sindicato;dias_uteis;qtde_dias_ferias;qtde_dias_licenca
117;35754;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
118;29083;1410;EXECUTIVO DE CONTAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
119;25081;1410;EXECUTIVO DE CONTAS III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
120;26322;1410;EXECUTIVO DE CONTAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
121;29090;1410;EXECUTIVO DE CONTAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
122;29087;1410;EXECUTIVO DE CONTAS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
123;24685;1410;EXECUTIVO DE CONTAS III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
124;24820;1410;EXECUTIVO DE CONTAS ESPECIALISTA;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
125;35500;1410;ASSISTENTE DE NEGOCIOS II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
126;32176;1410;ANALISTA DE NEGOCIOS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
127;33295;1410;ASSISTENTE DE NEGOCIOS;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
128;35526;1410;DESENVOLVEDOR II;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
129;35368;1410;CONSULTOR ESPECIALISTA TECNICO SAP;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
130;35576;1410;DESENVOLVEDOR I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
131;35619;1410;DESENVOLVEDOR I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
132;35581;1410;ASSISTENTE DE NEGOCIOS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
133;35578;1410;ASSISTENTE DE NEGOCIOS III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
134;25050;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
135;35509;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
136;31645;1410;ANALISTA DEVSECOPS I;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
137;34297;1410;DESENVOLVEDOR III;SINDPPD RS - SINDICATO DOS TRAB. EM PROC. DE DADOS RIO GRANDE DO SUL;35.0;21;0;0
